project	taxid	date	study_type
PRJEB2733	4896	2013-05	EVA study
PRJEB4019	9606	2013-06	EVA study
PRJEB4163	34506	2013-06	EVA study
PRJEB4395	4081	2013-07	EVA study
PRJEB5439	9606	2014-02	EVA study
PRJEB5829	9606	2014-03	EVA study
PRJEB5978	9923	2014-03	EVA study
PRJEB6025	9940	2014-04	EVA study
PRJEB6040	9606	2014-04	EVA study
PRJEB6041	9606	2014-04	EVA study
PRJEB6042	9606	2014-04	EVA study
PRJEB6057	9925	2014-04	EVA study
PRJEB6119	9913	2014-04	EVA study
PRJEB6495	469796	2014-06	EVA study
PRJEB6911	10088	2014-08	EVA study
PRJEB6930	9606	2014-08	EVA study
PRJEB7061	30523	2014-08	EVA study
PRJEB7217	9606	2014-09	EVA study
PRJEB7218	9606	2014-09	EVA study
PRJEB7723	4577	2014-11	EVA study
PRJEB7894	7165	2014-12	EVA study
PRJEB7895	9606	2014-12	EVA study
PRJEB7923	60711	2014-12	EVA study
PRJNA273563	3702	2015-01	EVA study
PRJEB8636	9606	2015-02	EVA study
PRJEB8639	9606	2015-02	EVA study
PRJEB8650	9606	2015-02	EVA study
PRJEB8652	9606	2015-02	EVA study
PRJEB8661	9606	2015-02	EVA study
PRJEB8705	9606	2015-03	EVA study
PRJEB9373	7159	2015-05	EVA study
PRJEB9507	4557	2015-06	EVA study
PRJEB9799	9796	2015-07	EVA study
PRJEB9822	9606	2015-07	EVA study
PRJEB9857	9606	2015-07	EVA study
PRJEB9858	9606	2015-07	EVA study
PRJNA289433	9606	2015-07	EVA study
PRJEB10956	9606	2015-09	EVA study
PRJEB10964	4530	2015-09	EVA study
PRJEB11471	10088	2015-10	EVA study
PRJEB11745	9606	2015-11	EVA study
PRJEB11746	9606	2015-11	EVA study
PRJEB11749	9606	2015-11	EVA study
PRJEB11750	9606	2015-11	EVA study
PRJEB11984	9606	2015-12	EVA study
PRJEB12769	4530	2016-02	EVA study
PRJEB12770	4530	2016-02	EVA study
PRJEB12771	39947	2016-02	EVA study
PRJEB13080	30069	2016-03	EVA study
PRJEB13081	74873	2016-03	EVA study
PRJEB13082	34691	2016-03	EVA study
PRJEB13083	112268	2016-03	EVA study
PRJEB13084	30066	2016-03	EVA study
PRJEB13085	34690	2016-03	EVA study
PRJEB13086	62324	2016-03	EVA study
PRJEB13087	69004	2016-03	EVA study
PRJEB13088	199890	2016-03	EVA study
PRJEB13089	139723	2016-03	EVA study
PRJEB13090	7173	2016-03	EVA study
PRJEB13516	4530	2016-04	EVA study
PRJEB13517	4530	2016-04	EVA study
PRJEB13618	4530	2016-04	EVA study
PRJEB13625	6183	2016-04	EVA study
PRJEB14018	9606	2016-05	EVA study
PRJEB14378	4530	2016-06	EVA study
PRJEB14385	4530	2016-06	EVA study
PRJEB14684	9940	2016-07	EVA study
PRJEB14685	9940	2016-07	EVA study
PRJEB14713	9606	2016-07	EVA study
PRJEB14878	9913	2016-07	EVA study
PRJEB14879	9913	2016-07	EVA study
PRJEB15197	9606	2016-08	EVA study
PRJEB15384	9606	2016-09	EVA study
PRJEB15385	9606	2016-09	EVA study
PRJEB15642	9940	2016-10	EVA study
PRJEB17529	9606	2016-10	EVA study
PRJEB18671	3885	2016-12	EVA study
PRJEB19387	9940	2017-02	EVA study
PRJEB19523	9606	2017-02	EVA study
PRJEB19524	9606	2017-02	EVA study
PRJEB19794	9606	2017-03	EVA study
PRJEB20009	9913	2017-03	EVA study
PRJEB20726	9606	2017-05	EVA study
PRJEB20817	9606	2017-05	EVA study
PRJEB20820	9606	2017-05	EVA study
PRJEB21300	9606	2017-06	EVA study
PRJEB21794	9913	2017-07	EVA study
PRJEB21914	9606	2017-07	EVA study
PRJEB22189	9823	2017-08	EVA study
PRJEB22261	215358	2017-08	EVA study
PRJEB22799	7955	2017-09	EVA study
PRJEB22833	10116	2017-09	EVA study
PRJEB22866	9796	2017-10	EVA study
PRJEB22988	60711	2017-10	EVA study
PRJEB22989	60711	2017-10	EVA study
PRJEB23068	9823	2017-10	EVA study
PRJEB23188	4232	2017-10	EVA study
PRJEB23201	9823	2017-10	EVA study
PRJEB23301	9796	2017-11	EVA study
PRJEB23437	9940	2017-11	EVA study
PRJEB23441	9796	2017-11	EVA study
PRJEB23487	9940	2017-11	EVA study
PRJEB23749	9606	2017-12	EVA study
PRJEB23751	3702	2017-12	EVA study
PRJEB23791	9606	2017-12	EVA study
PRJEB23828	9823	2017-12	EVA study
PRJEB23844	9606	2017-12	EVA study
PRJEB24044	3702	2017-12	EVA study
PRJEB24066	9615	2017-12	EVA study
PRJEB24306	10088	2018-01	EVA study
PRJEB24328	9615	2018-01	EVA study
PRJEB24624	9796	2018-01	EVA study
PRJEB24630	9796	2018-01	EVA study
PRJEB24746	9913	2018-02	EVA study
PRJEB24747	4932	2018-02	EVA study
PRJEB24756	41447	2018-02	EVA study
PRJEB24763	9913	2018-02	EVA study
PRJEB24783	9615	2018-02	EVA study
PRJEB24835	9913	2018-02	EVA study
PRJEB24930	9913	2018-02	EVA study
PRJEB24944	9031	2018-02	EVA study
PRJEB24964	9157	2018-02	EVA study
PRJEB24974	4577	2018-02	EVA study
PRJEB24995	9606	2018-02	EVA study
PRJEB24997	10141	2018-02	EVA study
PRJEB25004	9031	2018-02	EVA study
PRJEB25439	9796	2018-03	EVA study
PRJEB25656	9606	2018-03	EVA study
PRJEB25731	215358	2018-03	EVA study
PRJEB25807	9606	2018-03	EVA study
PRJEB25808	9606	2018-03	EVA study
PRJEB25899	3981	2018-04	EVA study
PRJEB25965	9606	2018-04	EVA study
PRJEB26285	10141	2018-04	EVA study
PRJEB26328	4530	2018-04	EVA study
PRJEB26337	9606	2018-04	EVA study
PRJEB26368	452646	2018-04	EVA study
PRJEB26477	9031	2018-04	EVA study
PRJEB26543	85692	2018-05	EVA study
PRJEB26741	9796	2018-05	EVA study
PRJEB26751	3707	2018-05	EVA study
PRJEB26962	3981	2018-05	EVA study
PRJEB26970	9031	2018-05	EVA study
PRJEB27093	4530	2018-06	EVA study
PRJEB27150	1089451	2018-06	EVA study
PRJEB27177	4615	2018-06	EVA study
PRJEB27233	9823	2018-06	EVA study
PRJEB27278	9986	2018-06	EVA study
PRJEB27312	9823	2018-06	EVA study
PRJEB27381	10116	2018-06	EVA study
PRJEB27427	3329	2018-06	EVA study
PRJEB27431	4577	2018-06	EVA study
PRJEB27443	9913	2018-06	EVA study
PRJEB27452	4896	2018-06	EVA study
PRJEB27676	9483	2018-07	EVA study
PRJEB27771	9796	2018-07	EVA study
PRJEB27789	9615	2018-07	EVA study
PRJEB27824	9606	2018-07	EVA study
PRJEB27956	3821	2018-07	EVA study
PRJEB28064	2094558	2018-08	EVA study
PRJEB28236	4530	2018-08	EVA study
PRJEB28258	8030	2018-08	EVA study
PRJEB28260	44689	2018-08	EVA study
